"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"D101"	"D101_01"	"D101_02"	"D101_03"	"D101_04"	"D101_05"	"D101_06"	"D101_07"	"D101_08"	"D101_08a"	"D102"	"D102_04"	"D103_01"	"D104"	"I003"	"I003_01"	"I004_01"	"M201_01"	"M201_02"	"M201_03"	"M201_04"	"M201_05"	"M201_06"	"M201_07"	"M201_08"	"M201_09"	"M201_10"	"M204_01"	"M204_02"	"M204_03"	"M204_04"	"M204_05"	"M204_06"	"M204_07"	"M204_08"	"M204_09"	"M204_10"	"M206_01"	"M206_02"	"M206_03"	"M206_04"	"M206_05"	"M206_06"	"M206_07"	"M206_08"	"M206_09"	"M206_10"	"M202_01"	"M205_01"	"M207_01"	"M208"	"M208x01"	"M208x02"	"M208x03"	"M208x04"	"M209_01"	"M209_02"	"M209_03"	"M209_04"	"M209_05"	"M209_06"	"M209_07"	"M209_08"	"M209_09"	"M209_10"	"M210_01"	"M210_02"	"M210_03"	"M210_04"	"M210_05"	"M210_06"	"M210_07"	"M210_08"	"M210_09"	"M210_10"	"TIME001"	"TIME002"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"
72			"HF"	"interview"	2023-10-17 16:15:49															1	T																																																												5		5		2023-10-17 16:15:54	F	F	1	1	0	0	3
75			"HF"	"interview"	2023-10-18 11:04:41	0	F	F	F	F	F	F	F	F		-9			-9	1	T	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9				0																									5348	951	974		2023-10-18 12:45:48	F	F	2	2	73	35	0.3
86			"HF"	"interview"	2023-10-18 15:18:09	1	F	F	F	T	F	F	F	F		3		"hjhj"	2	1	T	44	-9	-9	-9	-9	-9	-9	-9	-9	1	-9																								0					-9	-9	-1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-1	-9	-9	2	-9	-9	-9	7	44	51		2023-10-18 15:19:00	T	F	2	2	53	48	3
99			"HF"	"interview"	2023-10-18 15:28:06															1	T																																																												5	150	155		2023-10-18 15:30:41	F	F	2	2	0	0	3
106			"HF"	"interview"	2023-10-18 15:45:08	2	F	T	F	F	F	F	F	T	"Autonomous Vehicle Consortium"	3		"Director Autonomous Vehicles, MassRobotics"	2	1	T	90	2	6	7	8	4	3	9	5	10	1																								0					5	2	2	2	5	5	2	4	1	5	4	4	2	2	5	5	2	3	1	3	13	623	636		2023-10-18 15:55:44	T	F	2	2	10	3	1.33
108			"HF"	"interview"	2023-10-18 15:47:23															1	T																																																												15		15		2023-10-18 15:47:38	F	F	1	1	0	0	1.53
112			"HF"	"interview"	2023-10-18 15:49:43	1	F	T	F	F	F	F	F	F		3		"Product Owner, Technical Expert"	2	1	T	95	7	2	4	9	1	3	6	8	5	10																					"Missing options for higher up within a company org. "			0					4	5	5	1	5	5	5	2	4	3	3	5	5	1	5	3	3	2	4	2	16	227	243		2023-10-18 15:53:46	T	F	2	2	8	2	1.95
114			"HF"	"interview"	2023-10-18 15:50:12	1	T	F	F	F	F	F	F	F		1		"Difficult to say."	2	1	T	57	7	3	9	10	4	8	5	6	2	1																					"I don't know what ""non-functional requirements"" are. "			1	"I don't understand question 8. What is ""the relevant part"" referring to? Where HF should be placed? I mean, methods are methods, you can't affect them. You just have to follow whatever your org does."				3	4	2	2	2	1	-1	4	5	5	1	3	1	1	4	5	-1	5	4	2	27	407	434		2023-10-18 15:57:26	T	F	2	2	5	1	1.12
116			"HF"	"interview"	2023-10-18 16:06:15															1	T																																																												4		4		2023-10-18 16:06:19	F	F	1	1	0	0	3
118			"HF"	"interview"	2023-10-18 16:07:08	1	F	T	F	F	F	F	F	F		1		"Strategist"	2	1	T	26	6	4	8	9	7	1	10	2	3	5																								0					4	4	3	3	3	5	3	4	4	4	1	1	3	1	4	2	3	4	4	1	62	649	711		2023-10-18 16:18:59	T	F	2	2	10	3	0.62
